state_id,state_string,block_name
49,"Block{minecraft:mangrove_propagule}[age=0,hanging=false,stage=0,waterlogged=true]",minecraft:mangrove_propagule
50,"Block{minecraft:mangrove_propagule}[age=0,hanging=false,stage=0,waterlogged=false]",minecraft:mangrove_propagule
51,"Block{minecraft:mangrove_propagule}[age=0,hanging=false,stage=1,waterlogged=true]",minecraft:mangrove_propagule
52,"Block{minecraft:mangrove_propagule}[age=0,hanging=false,stage=1,waterlogged=false]",minecraft:mangrove_propagule
53,"Block{minecraft:mangrove_propagule}[age=1,hanging=true,stage=0,waterlogged=true]",minecraft:mangrove_propagule
54,"Block{minecraft:mangrove_propagule}[age=1,hanging=true,stage=0,waterlogged=false]",minecraft:mangrove_propagule
55,"Block{minecraft:mangrove_propagule}[age=1,hanging=true,stage=1,waterlogged=true]",minecraft:mangrove_propagule
56,"Block{minecraft:mangrove_propagule}[age=1,hanging=true,stage=1,waterlogged=false]",minecraft:mangrove_propagule
57,"Block{minecraft:mangrove_propagule}[age=1,hanging=false,stage=0,waterlogged=true]",minecraft:mangrove_propagule
58,"Block{minecraft:mangrove_propagule}[age=1,hanging=false,stage=0,waterlogged=false]",minecraft:mangrove_propagule
59,"Block{minecraft:mangrove_propagule}[age=1,hanging=false,stage=1,waterlogged=true]",minecraft:mangrove_propagule
60,"Block{minecraft:mangrove_propagule}[age=1,hanging=false,stage=1,waterlogged=false]",minecraft:mangrove_propagule
61,"Block{minecraft:mangrove_propagule}[age=2,hanging=true,stage=0,waterlogged=true]",minecraft:mangrove_propagule
62,"Block{minecraft:mangrove_propagule}[age=2,hanging=true,stage=0,waterlogged=false]",minecraft:mangrove_propagule
63,"Block{minecraft:mangrove_propagule}[age=2,hanging=true,stage=1,waterlogged=true]",minecraft:mangrove_propagule
64,"Block{minecraft:mangrove_propagule}[age=2,hanging=true,stage=1,waterlogged=false]",minecraft:mangrove_propagule
65,"Block{minecraft:mangrove_propagule}[age=2,hanging=false,stage=0,waterlogged=true]",minecraft:mangrove_propagule
66,"Block{minecraft:mangrove_propagule}[age=2,hanging=false,stage=0,waterlogged=false]",minecraft:mangrove_propagule
67,"Block{minecraft:mangrove_propagule}[age=2,hanging=false,stage=1,waterlogged=true]",minecraft:mangrove_propagule
68,"Block{minecraft:mangrove_propagule}[age=2,hanging=false,stage=1,waterlogged=false]",minecraft:mangrove_propagule
69,"Block{minecraft:mangrove_propagule}[age=3,hanging=true,stage=0,waterlogged=true]",minecraft:mangrove_propagule
70,"Block{minecraft:mangrove_propagule}[age=3,hanging=true,stage=0,waterlogged=false]",minecraft:mangrove_propagule
71,"Block{minecraft:mangrove_propagule}[age=3,hanging=true,stage=1,waterlogged=true]",minecraft:mangrove_propagule
72,"Block{minecraft:mangrove_propagule}[age=3,hanging=true,stage=1,waterlogged=false]",minecraft:mangrove_propagule
73,"Block{minecraft:mangrove_propagule}[age=3,hanging=false,stage=0,waterlogged=true]",minecraft:mangrove_propagule
74,"Block{minecraft:mangrove_propagule}[age=3,hanging=false,stage=0,waterlogged=false]",minecraft:mangrove_propagule
75,"Block{minecraft:mangrove_propagule}[age=3,hanging=false,stage=1,waterlogged=true]",minecraft:mangrove_propagule
76,"Block{minecraft:mangrove_propagule}[age=3,hanging=false,stage=1,waterlogged=false]",minecraft:mangrove_propagule
77,"Block{minecraft:mangrove_propagule}[age=4,hanging=true,stage=0,waterlogged=true]",minecraft:mangrove_propagule
78,"Block{minecraft:mangrove_propagule}[age=4,hanging=true,stage=0,waterlogged=false]",minecraft:mangrove_propagule
79,"Block{minecraft:mangrove_propagule}[age=4,hanging=true,stage=1,waterlogged=true]",minecraft:mangrove_propagule
80,"Block{minecraft:mangrove_propagule}[age=4,hanging=true,stage=1,waterlogged=false]",minecraft:mangrove_propagule
81,"Block{minecraft:mangrove_propagule}[age=4,hanging=false,stage=0,waterlogged=true]",minecraft:mangrove_propagule
82,"Block{minecraft:mangrove_propagule}[age=4,hanging=false,stage=0,waterlogged=false]",minecraft:mangrove_propagule
83,"Block{minecraft:mangrove_propagule}[age=4,hanging=false,stage=1,waterlogged=true]",minecraft:mangrove_propagule
84,"Block{minecraft:mangrove_propagule}[age=4,hanging=false,stage=1,waterlogged=false]",minecraft:mangrove_propagule
85,Block{minecraft:bedrock},minecraft:bedrock
86,Block{minecraft:water}[level=0],minecraft:water
87,Block{minecraft:water}[level=1],minecraft:water
88,Block{minecraft:water}[level=2],minecraft:water
89,Block{minecraft:water}[level=3],minecraft:water
90,Block{minecraft:water}[level=4],minecraft:water
91,Block{minecraft:water}[level=5],minecraft:water
92,Block{minecraft:water}[level=6],minecraft:water
93,Block{minecraft:water}[level=7],minecraft:water
94,Block{minecraft:water}[level=8],minecraft:water
95,Block{minecraft:water}[level=9],minecraft:water
96,Block{minecraft:water}[level=10],minecraft:water
97,Block{minecraft:water}[level=11],minecraft:water
98,Block{minecraft:water}[level=12],minecraft:water
99,Block{minecraft:water}[level=13],minecraft:water
100,Block{minecraft:water}[level=14],minecraft:water
101,Block{minecraft:water}[level=15],minecraft:water
102,Block{minecraft:lava}[level=0],minecraft:lava
103,Block{minecraft:lava}[level=1],minecraft:lava
104,Block{minecraft:lava}[level=2],minecraft:lava
105,Block{minecraft:lava}[level=3],minecraft:lava
106,Block{minecraft:lava}[level=4],minecraft:lava
107,Block{minecraft:lava}[level=5],minecraft:lava
108,Block{minecraft:lava}[level=6],minecraft:lava
109,Block{minecraft:lava}[level=7],minecraft:lava
110,Block{minecraft:lava}[level=8],minecraft:lava
111,Block{minecraft:lava}[level=9],minecraft:lava
112,Block{minecraft:lava}[level=10],minecraft:lava
113,Block{minecraft:lava}[level=11],minecraft:lava
114,Block{minecraft:lava}[level=12],minecraft:lava
115,Block{minecraft:lava}[level=13],minecraft:lava
116,Block{minecraft:lava}[level=14],minecraft:lava
117,Block{minecraft:lava}[level=15],minecraft:lava
118,Block{minecraft:sand},minecraft:sand
119,Block{minecraft:suspicious_sand}[dusted=0],minecraft:suspicious_sand
120,Block{minecraft:suspicious_sand}[dusted=1],minecraft:suspicious_sand
121,Block{minecraft:suspicious_sand}[dusted=2],minecraft:suspicious_sand
122,Block{minecraft:suspicious_sand}[dusted=3],minecraft:suspicious_sand
123,Block{minecraft:red_sand},minecraft:red_sand
124,Block{minecraft:gravel},minecraft:gravel
125,Block{minecraft:suspicious_gravel}[dusted=0],minecraft:suspicious_gravel
126,Block{minecraft:suspicious_gravel}[dusted=1],minecraft:suspicious_gravel
127,Block{minecraft:suspicious_gravel}[dusted=2],minecraft:suspicious_gravel
128,Block{minecraft:suspicious_gravel}[dusted=3],minecraft:suspicious_gravel
129,Block{minecraft:gold_ore},minecraft:gold_ore
130,Block{minecraft:deepslate_gold_ore},minecraft:deepslate_gold_ore
131,Block{minecraft:iron_ore},minecraft:iron_ore
132,Block{minecraft:deepslate_iron_ore},minecraft:deepslate_iron_ore
133,Block{minecraft:coal_ore},minecraft:coal_ore
134,Block{minecraft:deepslate_coal_ore},minecraft:deepslate_coal_ore
135,Block{minecraft:nether_gold_ore},minecraft:nether_gold_ore
136,Block{minecraft:oak_log}[axis=x],minecraft:oak_log
137,Block{minecraft:oak_log}[axis=y],minecraft:oak_log
138,Block{minecraft:oak_log}[axis=z],minecraft:oak_log
139,Block{minecraft:spruce_log}[axis=x],minecraft:spruce_log
140,Block{minecraft:spruce_log}[axis=y],minecraft:spruce_log
141,Block{minecraft:spruce_log}[axis=z],minecraft:spruce_log
142,Block{minecraft:birch_log}[axis=x],minecraft:birch_log
143,Block{minecraft:birch_log}[axis=y],minecraft:birch_log
144,Block{minecraft:birch_log}[axis=z],minecraft:birch_log
145,Block{minecraft:jungle_log}[axis=x],minecraft:jungle_log
146,Block{minecraft:jungle_log}[axis=y],minecraft:jungle_log
147,Block{minecraft:jungle_log}[axis=z],minecraft:jungle_log
148,Block{minecraft:acacia_log}[axis=x],minecraft:acacia_log
149,Block{minecraft:acacia_log}[axis=y],minecraft:acacia_log
150,Block{minecraft:acacia_log}[axis=z],minecraft:acacia_log
151,Block{minecraft:cherry_log}[axis=x],minecraft:cherry_log
152,Block{minecraft:cherry_log}[axis=y],minecraft:cherry_log
153,Block{minecraft:cherry_log}[axis=z],minecraft:cherry_log
154,Block{minecraft:dark_oak_log}[axis=x],minecraft:dark_oak_log
155,Block{minecraft:dark_oak_log}[axis=y],minecraft:dark_oak_log
156,Block{minecraft:dark_oak_log}[axis=z],minecraft:dark_oak_log
157,Block{minecraft:pale_oak_log}[axis=x],minecraft:pale_oak_log
158,Block{minecraft:pale_oak_log}[axis=y],minecraft:pale_oak_log
159,Block{minecraft:pale_oak_log}[axis=z],minecraft:pale_oak_log
160,Block{minecraft:mangrove_log}[axis=x],minecraft:mangrove_log
161,Block{minecraft:mangrove_log}[axis=y],minecraft:mangrove_log
162,Block{minecraft:mangrove_log}[axis=z],minecraft:mangrove_log
163,Block{minecraft:mangrove_roots}[waterlogged=true],minecraft:mangrove_roots
164,Block{minecraft:mangrove_roots}[waterlogged=false],minecraft:mangrove_roots
165,Block{minecraft:muddy_mangrove_roots}[axis=x],minecraft:muddy_mangrove_roots
166,Block{minecraft:muddy_mangrove_roots}[axis=y],minecraft:muddy_mangrove_roots
167,Block{minecraft:muddy_mangrove_roots}[axis=z],minecraft:muddy_mangrove_roots
168,Block{minecraft:bamboo_block}[axis=x],minecraft:bamboo_block
169,Block{minecraft:bamboo_block}[axis=y],minecraft:bamboo_block
170,Block{minecraft:bamboo_block}[axis=z],minecraft:bamboo_block
171,Block{minecraft:stripped_spruce_log}[axis=x],minecraft:stripped_spruce_log
172,Block{minecraft:stripped_spruce_log}[axis=y],minecraft:stripped_spruce_log
173,Block{minecraft:stripped_spruce_log}[axis=z],minecraft:stripped_spruce_log
174,Block{minecraft:stripped_birch_log}[axis=x],minecraft:stripped_birch_log
175,Block{minecraft:stripped_birch_log}[axis=y],minecraft:stripped_birch_log
176,Block{minecraft:stripped_birch_log}[axis=z],minecraft:stripped_birch_log
177,Block{minecraft:stripped_jungle_log}[axis=x],minecraft:stripped_jungle_log
178,Block{minecraft:stripped_jungle_log}[axis=y],minecraft:stripped_jungle_log
179,Block{minecraft:stripped_jungle_log}[axis=z],minecraft:stripped_jungle_log
180,Block{minecraft:stripped_acacia_log}[axis=x],minecraft:stripped_acacia_log
181,Block{minecraft:stripped_acacia_log}[axis=y],minecraft:stripped_acacia_log
182,Block{minecraft:stripped_acacia_log}[axis=z],minecraft:stripped_acacia_log
183,Block{minecraft:stripped_cherry_log}[axis=x],minecraft:stripped_cherry_log
184,Block{minecraft:stripped_cherry_log}[axis=y],minecraft:stripped_cherry_log
185,Block{minecraft:stripped_cherry_log}[axis=z],minecraft:stripped_cherry_log
186,Block{minecraft:stripped_dark_oak_log}[axis=x],minecraft:stripped_dark_oak_log
187,Block{minecraft:stripped_dark_oak_log}[axis=y],minecraft:stripped_dark_oak_log
188,Block{minecraft:stripped_dark_oak_log}[axis=z],minecraft:stripped_dark_oak_log
189,Block{minecraft:stripped_pale_oak_log}[axis=x],minecraft:stripped_pale_oak_log
190,Block{minecraft:stripped_pale_oak_log}[axis=y],minecraft:stripped_pale_oak_log
191,Block{minecraft:stripped_pale_oak_log}[axis=z],minecraft:stripped_pale_oak_log
192,Block{minecraft:stripped_oak_log}[axis=x],minecraft:stripped_oak_log
193,Block{minecraft:stripped_oak_log}[axis=y],minecraft:stripped_oak_log
194,Block{minecraft:stripped_oak_log}[axis=z],minecraft:stripped_oak_log
195,Block{minecraft:stripped_mangrove_log}[axis=x],minecraft:stripped_mangrove_log
196,Block{minecraft:stripped_mangrove_log}[axis=y],minecraft:stripped_mangrove_log
197,Block{minecraft:stripped_mangrove_log}[axis=z],minecraft:stripped_mangrove_log
198,Block{minecraft:stripped_bamboo_block}[axis=x],minecraft:stripped_bamboo_block
199,Block{minecraft:stripped_bamboo_block}[axis=y],minecraft:stripped_bamboo_block
200,Block{minecraft:stripped_bamboo_block}[axis=z],minecraft:stripped_bamboo_block
201,Block{minecraft:oak_wood}[axis=x],minecraft:oak_wood
202,Block{minecraft:oak_wood}[axis=y],minecraft:oak_wood
203,Block{minecraft:oak_wood}[axis=z],minecraft:oak_wood
204,Block{minecraft:spruce_wood}[axis=x],minecraft:spruce_wood
205,Block{minecraft:spruce_wood}[axis=y],minecraft:spruce_wood
206,Block{minecraft:spruce_wood}[axis=z],minecraft:spruce_wood
207,Block{minecraft:birch_wood}[axis=x],minecraft:birch_wood
208,Block{minecraft:birch_wood}[axis=y],minecraft:birch_wood
209,Block{minecraft:birch_wood}[axis=z],minecraft:birch_wood
210,Block{minecraft:jungle_wood}[axis=x],minecraft:jungle_wood
211,Block{minecraft:jungle_wood}[axis=y],minecraft:jungle_wood
212,Block{minecraft:jungle_wood}[axis=z],minecraft:jungle_wood
213,Block{minecraft:acacia_wood}[axis=x],minecraft:acacia_wood
214,Block{minecraft:acacia_wood}[axis=y],minecraft:acacia_wood
215,Block{minecraft:acacia_wood}[axis=z],minecraft:acacia_wood
216,Block{minecraft:cherry_wood}[axis=x],minecraft:cherry_wood
217,Block{minecraft:cherry_wood}[axis=y],minecraft:cherry_wood
218,Block{minecraft:cherry_wood}[axis=z],minecraft:cherry_wood
219,Block{minecraft:dark_oak_wood}[axis=x],minecraft:dark_oak_wood
220,Block{minecraft:dark_oak_wood}[axis=y],minecraft:dark_oak_wood
221,Block{minecraft:dark_oak_wood}[axis=z],minecraft:dark_oak_wood
222,Block{minecraft:mangrove_wood}[axis=x],minecraft:mangrove_wood
223,Block{minecraft:mangrove_wood}[axis=y],minecraft:mangrove_wood
224,Block{minecraft:mangrove_wood}[axis=z],minecraft:mangrove_wood
225,Block{minecraft:stripped_oak_wood}[axis=x],minecraft:stripped_oak_wood
226,Block{minecraft:stripped_oak_wood}[axis=y],minecraft:stripped_oak_wood
227,Block{minecraft:stripped_oak_wood}[axis=z],minecraft:stripped_oak_wood
228,Block{minecraft:stripped_spruce_wood}[axis=x],minecraft:stripped_spruce_wood
229,Block{minecraft:stripped_spruce_wood}[axis=y],minecraft:stripped_spruce_wood
230,Block{minecraft:stripped_spruce_wood}[axis=z],minecraft:stripped_spruce_wood
231,Block{minecraft:stripped_birch_wood}[axis=x],minecraft:stripped_birch_wood
232,Block{minecraft:stripped_birch_wood}[axis=y],minecraft:stripped_birch_wood
233,Block{minecraft:stripped_birch_wood}[axis=z],minecraft:stripped_birch_wood
234,Block{minecraft:stripped_jungle_wood}[axis=x],minecraft:stripped_jungle_wood
235,Block{minecraft:stripped_jungle_wood}[axis=y],minecraft:stripped_jungle_wood
236,Block{minecraft:stripped_jungle_wood}[axis=z],minecraft:stripped_jungle_wood
237,Block{minecraft:stripped_acacia_wood}[axis=x],minecraft:stripped_acacia_wood
238,Block{minecraft:stripped_acacia_wood}[axis=y],minecraft:stripped_acacia_wood
239,Block{minecraft:stripped_acacia_wood}[axis=z],minecraft:stripped_acacia_wood
240,Block{minecraft:stripped_cherry_wood}[axis=x],minecraft:stripped_cherry_wood
241,Block{minecraft:stripped_cherry_wood}[axis=y],minecraft:stripped_cherry_wood
242,Block{minecraft:stripped_cherry_wood}[axis=z],minecraft:stripped_cherry_wood
243,Block{minecraft:stripped_dark_oak_wood}[axis=x],minecraft:stripped_dark_oak_wood
244,Block{minecraft:stripped_dark_oak_wood}[axis=y],minecraft:stripped_dark_oak_wood
245,Block{minecraft:stripped_dark_oak_wood}[axis=z],minecraft:stripped_dark_oak_wood
246,Block{minecraft:stripped_pale_oak_wood}[axis=x],minecraft:stripped_pale_oak_wood
247,Block{minecraft:stripped_pale_oak_wood}[axis=y],minecraft:stripped_pale_oak_wood
248,Block{minecraft:stripped_pale_oak_wood}[axis=z],minecraft:stripped_pale_oak_wood
249,Block{minecraft:stripped_mangrove_wood}[axis=x],minecraft:stripped_mangrove_wood
250,Block{minecraft:stripped_mangrove_wood}[axis=y],minecraft:stripped_mangrove_wood
251,Block{minecraft:stripped_mangrove_wood}[axis=z],minecraft:stripped_mangrove_wood
252,"Block{minecraft:oak_leaves}[distance=1,persistent=true,waterlogged=true]",minecraft:oak_leaves
253,"Block{minecraft:oak_leaves}[distance=1,persistent=true,waterlogged=false]",minecraft:oak_leaves
254,"Block{minecraft:oak_leaves}[distance=1,persistent=false,waterlogged=true]",minecraft:oak_leaves
255,"Block{minecraft:oak_leaves}[distance=1,persistent=false,waterlogged=false]",minecraft:oak_leaves
256,"Block{minecraft:oak_leaves}[distance=2,persistent=true,waterlogged=true]",minecraft:oak_leaves
257,"Block{minecraft:oak_leaves}[distance=2,persistent=true,waterlogged=false]",minecraft:oak_leaves
258,"Block{minecraft:oak_leaves}[distance=2,persistent=false,waterlogged=true]",minecraft:oak_leaves
259,"Block{minecraft:oak_leaves}[distance=2,persistent=false,waterlogged=false]",minecraft:oak_leaves
260,"Block{minecraft:oak_leaves}[distance=3,persistent=true,waterlogged=true]",minecraft:oak_leaves
261,"Block{minecraft:oak_leaves}[distance=3,persistent=true,waterlogged=false]",minecraft:oak_leaves
262,"Block{minecraft:oak_leaves}[distance=3,persistent=false,waterlogged=true]",minecraft:oak_leaves
263,"Block{minecraft:oak_leaves}[distance=3,persistent=false,waterlogged=false]",minecraft:oak_leaves
264,"Block{minecraft:oak_leaves}[distance=4,persistent=true,waterlogged=true]",minecraft:oak_leaves
265,"Block{minecraft:oak_leaves}[distance=4,persistent=true,waterlogged=false]",minecraft:oak_leaves
266,"Block{minecraft:oak_leaves}[distance=4,persistent=false,waterlogged=true]",minecraft:oak_leaves
267,"Block{minecraft:oak_leaves}[distance=4,persistent=false,waterlogged=false]",minecraft:oak_leaves
268,"Block{minecraft:oak_leaves}[distance=5,persistent=true,waterlogged=true]",minecraft:oak_leaves
269,"Block{minecraft:oak_leaves}[distance=5,persistent=true,waterlogged=false]",minecraft:oak_leaves
270,"Block{minecraft:oak_leaves}[distance=5,persistent=false,waterlogged=true]",minecraft:oak_leaves
271,"Block{minecraft:oak_leaves}[distance=5,persistent=false,waterlogged=false]",minecraft:oak_leaves
272,"Block{minecraft:oak_leaves}[distance=6,persistent=true,waterlogged=true]",minecraft:oak_leaves
273,"Block{minecraft:oak_leaves}[distance=6,persistent=true,waterlogged=false]",minecraft:oak_leaves
274,"Block{minecraft:oak_leaves}[distance=6,persistent=false,waterlogged=true]",minecraft:oak_leaves
275,"Block{minecraft:oak_leaves}[distance=6,persistent=false,waterlogged=false]",minecraft:oak_leaves
276,"Block{minecraft:oak_leaves}[distance=7,persistent=true,waterlogged=true]",minecraft:oak_leaves
277,"Block{minecraft:oak_leaves}[distance=7,persistent=true,waterlogged=false]",minecraft:oak_leaves
278,"Block{minecraft:oak_leaves}[distance=7,persistent=false,waterlogged=true]",minecraft:oak_leaves
279,"Block{minecraft:oak_leaves}[distance=7,persistent=false,waterlogged=false]",minecraft:oak_leaves
280,"Block{minecraft:spruce_leaves}[distance=1,persistent=true,waterlogged=true]",minecraft:spruce_leaves
281,"Block{minecraft:spruce_leaves}[distance=1,persistent=true,waterlogged=false]",minecraft:spruce_leaves
282,"Block{minecraft:spruce_leaves}[distance=1,persistent=false,waterlogged=true]",minecraft:spruce_leaves
283,"Block{minecraft:spruce_leaves}[distance=1,persistent=false,waterlogged=false]",minecraft:spruce_leaves
284,"Block{minecraft:spruce_leaves}[distance=2,persistent=true,waterlogged=true]",minecraft:spruce_leaves
285,"Block{minecraft:spruce_leaves}[distance=2,persistent=true,waterlogged=false]",minecraft:spruce_leaves
286,"Block{minecraft:spruce_leaves}[distance=2,persistent=false,waterlogged=true]",minecraft:spruce_leaves
287,"Block{minecraft:spruce_leaves}[distance=2,persistent=false,waterlogged=false]",minecraft:spruce_leaves
288,"Block{minecraft:spruce_leaves}[distance=3,persistent=true,waterlogged=true]",minecraft:spruce_leaves
289,"Block{minecraft:spruce_leaves}[distance=3,persistent=true,waterlogged=false]",minecraft:spruce_leaves
290,"Block{minecraft:spruce_leaves}[distance=3,persistent=false,waterlogged=true]",minecraft:spruce_leaves
291,"Block{minecraft:spruce_leaves}[distance=3,persistent=false,waterlogged=false]",minecraft:spruce_leaves
292,"Block{minecraft:spruce_leaves}[distance=4,persistent=true,waterlogged=true]",minecraft:spruce_leaves
293,"Block{minecraft:spruce_leaves}[distance=4,persistent=true,waterlogged=false]",minecraft:spruce_leaves
294,"Block{minecraft:spruce_leaves}[distance=4,persistent=false,waterlogged=true]",minecraft:spruce_leaves
295,"Block{minecraft:spruce_leaves}[distance=4,persistent=false,waterlogged=false]",minecraft:spruce_leaves
296,"Block{minecraft:spruce_leaves}[distance=5,persistent=true,waterlogged=true]",minecraft:spruce_leaves
297,"Block{minecraft:spruce_leaves}[distance=5,persistent=true,waterlogged=false]",minecraft:spruce_leaves
298,"Block{minecraft:spruce_leaves}[distance=5,persistent=false,waterlogged=true]",minecraft:spruce_leaves
299,"Block{minecraft:spruce_leaves}[distance=5,persistent=false,waterlogged=false]",minecraft:spruce_leaves
300,"Block{minecraft:spruce_leaves}[distance=6,persistent=true,waterlogged=true]",minecraft:spruce_leaves
301,"Block{minecraft:spruce_leaves}[distance=6,persistent=true,waterlogged=false]",minecraft:spruce_leaves
302,"Block{minecraft:spruce_leaves}[distance=6,persistent=false,waterlogged=true]",minecraft:spruce_leaves
303,"Block{minecraft:spruce_leaves}[distance=6,persistent=false,waterlogged=false]",minecraft:spruce_leaves
304,"Block{minecraft:spruce_leaves}[distance=7,persistent=true,waterlogged=true]",minecraft:spruce_leaves
305,"Block{minecraft:spruce_leaves}[distance=7,persistent=true,waterlogged=false]",minecraft:spruce_leaves
306,"Block{minecraft:spruce_leaves}[distance=7,persistent=false,waterlogged=true]",minecraft:spruce_leaves
307,"Block{minecraft:spruce_leaves}[distance=7,persistent=false,waterlogged=false]",minecraft:spruce_leaves
308,"Block{minecraft:birch_leaves}[distance=1,persistent=true,waterlogged=true]",minecraft:birch_leaves
309,"Block{minecraft:birch_leaves}[distance=1,persistent=true,waterlogged=false]",minecraft:birch_leaves
310,"Block{minecraft:birch_leaves}[distance=1,persistent=false,waterlogged=true]",minecraft:birch_leaves
311,"Block{minecraft:birch_leaves}[distance=1,persistent=false,waterlogged=false]",minecraft:birch_leaves
312,"Block{minecraft:birch_leaves}[distance=2,persistent=true,waterlogged=true]",minecraft:birch_leaves
313,"Block{minecraft:birch_leaves}[distance=2,persistent=true,waterlogged=false]",minecraft:birch_leaves
314,"Block{minecraft:birch_leaves}[distance=2,persistent=false,waterlogged=true]",minecraft:birch_leaves
315,"Block{minecraft:birch_leaves}[distance=2,persistent=false,waterlogged=false]",minecraft:birch_leaves
316,"Block{minecraft:birch_leaves}[distance=3,persistent=true,waterlogged=true]",minecraft:birch_leaves
317,"Block{minecraft:birch_leaves}[distance=3,persistent=true,waterlogged=false]",minecraft:birch_leaves
318,"Block{minecraft:birch_leaves}[distance=3,persistent=false,waterlogged=true]",minecraft:birch_leaves
319,"Block{minecraft:birch_leaves}[distance=3,persistent=false,waterlogged=false]",minecraft:birch_leaves
320,"Block{minecraft:birch_leaves}[distance=4,persistent=true,waterlogged=true]",minecraft:birch_leaves
321,"Block{minecraft:birch_leaves}[distance=4,persistent=true,waterlogged=false]",minecraft:birch_leaves
322,"Block{minecraft:birch_leaves}[distance=4,persistent=false,waterlogged=true]",minecraft:birch_leaves
323,"Block{minecraft:birch_leaves}[distance=4,persistent=false,waterlogged=false]",minecraft:birch_leaves
324,"Block{minecraft:birch_leaves}[distance=5,persistent=true,waterlogged=true]",minecraft:birch_leaves
325,"Block{minecraft:birch_leaves}[distance=5,persistent=true,waterlogged=false]",minecraft:birch_leaves
326,"Block{minecraft:birch_leaves}[distance=5,persistent=false,waterlogged=true]",minecraft:birch_leaves
327,"Block{minecraft:birch_leaves}[distance=5,persistent=false,waterlogged=false]",minecraft:birch_leaves
328,"Block{minecraft:birch_leaves}[distance=6,persistent=true,waterlogged=true]",minecraft:birch_leaves
329,"Block{minecraft:birch_leaves}[distance=6,persistent=true,waterlogged=false]",minecraft:birch_leaves
330,"Block{minecraft:birch_leaves}[distance=6,persistent=false,waterlogged=true]",minecraft:birch_leaves
331,"Block{minecraft:birch_leaves}[distance=6,persistent=false,waterlogged=false]",minecraft:birch_leaves
332,"Block{minecraft:birch_leaves}[distance=7,persistent=true,waterlogged=true]",minecraft:birch_leaves
